Make,Model,Production Year,Date of Sale,Sold Price,Gearbox,Description,Auction House,Country of Sale,Spyder,LHD_RHD
Dodge,Ram SRT-10,2004,25/07/2025,"£58,516",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Chevrolet,6400 5 Window Flat Bed Dually,1948,21/07/2025,"£37,924",Automatic,,ACC Auctions,Unknown,False,"Santa Clarita, California, USA"
Mercury,Eight Woody Wagon,1949,10/07/2025,"£60,040",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Meyers,Manx,1967,25/07/2024,"£22,724",Manual,,AutoHunter,Unknown,False,"Santa Clarita, California, USA"
Ferrari,F355 Spider Serie Fiorano,1999,01/07/2005,"£106,324",Automatic,,Unknown,Unknown,True,"Santa Clarita, California, USA"
Toyota,FJ45 Land Cruiser,1981,23/07/2025,"£30,048",Manual,,Hemmings,Unknown,False,"Santa Clarita, California, USA"
Land,Rover Range Rover LWB County,1995,29/07/2025,"£15,200",Automatic,,Bring a Trailer,Unknown,False,"Santa Clarita, California, USA"
Toyota,Supra Turbo,1995,24/07/2025,"£95,756",Manual,,Bring a Trailer Auctions,Unknown,False,"Santa Clarita, California, USA"
Chevrolet,210 2 Door Hardtop,1957,26/07/2025,"£60,724",Automatic,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Chevrolet,S-10 Tahoe Open Top Pickup,1984,31/07/2025,"£6,764",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Mercedes-Benz,300SDL,1986,10/07/2025,"£9,120",Automatic,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Porsche,356 Coupe,1961,01/07/2025,"£216,600",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Porsche,356 Roadster,1962,16/07/2025,"£219,944",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Chevrolet,3100 Pickup,1948,11/07/2025,"£36,457",Automatic,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Mazda,RX-7 Turbo,1993,31/07/2025,"£50,844",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Land,Rover Discovery,1999,09/07/2025,"£14,364",Automatic,,Unknown,Unknown,False,"Santa Clarita, California, USA"
BMW,Z4 M,2007,13/07/2016,"£25,080",Manual,,PCARMARKET Marketplace,Unknown,False,"Santa Clarita, California, USA"
Ford,F-350 XLT,1995,27/07/2025,"£16,720",Automatic,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Mazda,MX-5 Miata Grand Touring,2008,30/07/2025,"£11,020",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Sunbeam,Tiger,1965,25/07/2025,"£56,620",Manual,,Unknown,Unknown,False,"Santa Clarita, California, USA"
Ford,Mustang Sprint Package B,1968,11/07/2025,"£26,220",Automatic,,Texas Gem Kar,Unknown,False,"Santa Clarita, California, USA"
Chevrolet,C10 Short Bed Pickup,1963,15/07/2025,"£29,640",Automatic,,Streetside Classics - Phoenix,Unknown,False,"Santa Clarita, California, USA"
