Make,Model,Production Year,Date of Sale,Sold Price,Gearbox,Description,Auction House,Country of Sale,Spyder,LHD_RHD,URL
Mercedes-Benz,SL320,1998,3 Aug 2025,"£7,000",,HighlightsGreen-Black Metallic paintRemovable hardtop roof Extensive service historyMulti-contour seats 3.2-litre V6,PistonHeads,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/pistonheads-2025-08-03-mercedes-benz-r129-sl-320-b38a3c
Morris,Minor,1958,6 Aug 2025,"£4,000 - £4,500",Manual,"This 1958 Morris Minor has a 1600cc engine and is described as being in a 'use-and-improve' condition, suggesting it needs some work. It is offered with spares and is described as 'charming' and suitable as a daily driver.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-morris-minor-1000-unspecified-c5fc2a
Aston,Martin DBS Vantage,1971,6 Aug 2025,"£55,000 - £60,000",Manual,"Ultra-rare Aston Martin DBS Vantage with matching numbers and a 5-speed manual gearbox. Recent recommissioning worth £88k, but the paintwork needs attention, offering a great opportunity at a sensible price.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-aston-martin-dbs-vantage-059b5c
Squire,Two-Seater Roadster,1989,6 Aug 2025,"£13,000 - £15,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-squire-other-539375
Rover,P5B Coupe,1973,6 Aug 2025,"£20,000 - £25,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-rover-p5b-50de2a
Chrysler,Crossfire,2006,6 Aug 2025,"£2,250 - £2,750",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-chrysler-crossfire-34630d
Mercedes,Benz CLK 320 Elegance Convertible,1999,6 Aug 2025,"£3,500 - £4,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-clk-320-673a3e
Austin-Healey,Sprite Mk1,1959,6 Aug 2025,"£10,000 - £12,000",Manual,"This 1959 LHD Frogeye Sprite was imported from the USA and has been fully restored, including a rebored 998cc engine and new steel clamshell bonnet. It was repainted in 2022 and is said to start and drive very well, with some minor issues.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-healey-sprite-mk-i-73a051
Jeep,CJ-7 Golden Eagle,1978,6 Aug 2025,"£25,000 - £30,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jeep-cj7-e22380
Austin,Seven Type EK Type 75/Speedy,1934,6 Aug 2025,"£30,000 - £32,000",Manual,"This Austin Seven Speedy is believed to be one of only 7 survivors. It has a long history, including time in a motor museum, and is now ready to drive.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-seven-a1cb60
Alvis,TF21 Automatic,1966,6 Aug 2025,"£20,000 - £25,000",Automatic,"This 1966 Alvis TF21 Automatic, one of 80 saloons made, features a 3.0 straight-six engine and has had five owners. While mechanically sound with recent work, it presents 'shabby chic' bodywork and patina, with an MOT until July 2026.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-alvis-tf21-fb85d8
Toyota,Celica ST Coupe,1976,6 Aug 2025,"£10,000 - £12,000",Manual,"This 1976 Toyota Celica ST, with its eye-catching orange paint, presents a cool retro vibe. Having been subject to an insurance claim resulting in a Cat N marker, it runs well and could be a good value project.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-toyota-celica-st-a6d809
Ford,Capri MkIII 2.8 Injection,1987,6 Aug 2025,"£14,000 - £16,000",Manual,"This is a restored 1987 Ford coupe with a 2.8 injection V6 engine, featuring a rebuilt engine with Kent camshaft, upgraded suspension, brakes and a leather interior. It has a long MOT and low mileage since restoration, making it ready to enjoy.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-capri-mk-iii-2-8-injection-ac3317
Land,Rover Series III 88inch,1981,6 Aug 2025,"£18,000 - £20,000",Manual,"This Land Rover Series III 88"" is a stylish classic 4x4, featuring a galvanised chassis, recent Exmoor trim, and numerous mechanical upgrades. With documented mileage and a host of extras, it's ready for all weather conditions.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-series-iii-88-8e1c7e
Jaguar,XJS 4.0 Celebration Convertible,1996,6 Aug 2025,"£15,000 - £17,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xjs-convertible-celebration-e253dd
MGB,Roadster,1972,6 Aug 2025,"£10,000 - £12,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-6f440a
Ford,Escort MkIV 1.8D Estate,1989,6 Aug 2025,"£2,000 - £3,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-escort-1-8-e5a005
Austin,7 Saloon,1932,6 Aug 2025,"£4,500 - £5,500",Manual,"This 1932 Austin 7 Saloon, first registered in Nottinghamshire, features an older restoration and a recent front suspension rebuild. It comes with a transferable Notts-issue number plate and is VSCC eligible, making it a charming and potentially valuable classic.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-seven-ff14e3
Saab,9-3 SE Convertible,2001,6 Aug 2025,"£3,000 - £4,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-saab-9-3-70e100
,,TBC,6 Aug 2025,,Automatic,"This 1973 Triumph Stag, owned by the vendor for 45 years, features its original V8 engine and automatic transmission. While the paintwork shows some age, the car has a rebuilt engine, a soft top hood, and a color-coded hardtop, making it a reluctant sale due to the vendor's lack of garage space.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-stag-d4208c
BMW,Isetta 300,1957,6 Aug 2025,"£17,000 - £18,000",Manual,"This 1957 BMW Isetta Bubble car, originally from Germany and exported to South Africa, was imported to the UK in 2021 and fully restored. With only 12 of this variant believed to exist, and a recent engine rebuild, it's a rare opportunity to own an iconic microcar.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bmw-isetta-300-6df9aa
Nash,Standard Six,1928,6 Aug 2025,"£6,000 - £8,000",Manual,"This is a restored, factory right-hand drive Nash sedan from the inter-war period. It features a smooth six-cylinder engine and has been well-maintained, making it a super alternative to the ubiquitous Ford Model A.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-nash-six-4b5357
Volkswagen,Golf R32,2003,6 Aug 2025,"£10,000 - £12,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-volkswagen-golf-r32-f99ab0
Daimler,250 V8,1968,6 Aug 2025,"£7,000 - £8,000",Automatic,"Classic car with low mileage and long-term ownership, indicating potential value. It requires some cosmetic work.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-daimler-v8-250-5d50bc
Alfa,Romeo Alfasud 1.5 Super,1979,6 Aug 2025,"£6,500 - £7,500",Manual,"Classic 1979 Alfa Romeo Alfasud with low mileage (48,350) and only three owners, recently recommissioned and in remarkably good condition. It features a 5-speed gearbox and a advisory-free MOT until March 2026, making it a rare survivor.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-alfa-romeo-alfasud-3c0502
BMW,Z4 3.0 Si Sport Coupe,2007,6 Aug 2025,"£6,500 - £7,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bmw-z4-sport-f41052
Vauxhall,Calibra SE8 2.0L 16V Limited Edition,1998,6 Aug 2025,"£2,000 - £3,000",Manual,"This is a rare, one-owner 1998 Vauxhall Calibra SE8 Limited Edition with a 2.0L engine and extensive service history. While it has high mileage, it appears to be well-maintained and comes with original documentation.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-vauxhall-calibra-45b982
Toyota,Celica GT-Four ST185,1994,6 Aug 2025,"£8,000 - £10,000",Manual,"This 1994 Toyota Celica GT-4 ST185, a WRC icon, was UK road registered in 2004 and has had only three previous UK keepers. It features Compomotive alloy wheels, pop-up headlights, and benefits from a recent advisory-free MOT, though some reconditioning may be required.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-toyota-celica-gt-four-c9db2b
,,TBC,6 Aug 2025,,Automatic,"This early 2000s BMW flagship car features Alpina styling and a V12 engine, with a comprehensive service history. However, it has a bad scratch on the driver's side and an intermittent suspension fault.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bmw-760li-0bf07b
